=== Segment 1 Start: 21:35:16 | End: 21:35:20 ===
Time (s),x,y
0.8,60,20
0.87,100,60
1.4,100,100
1.79,100,140
1.86,100,180
2.26,140,180
2.32,180,180
2.99,180,220
3.05,180,260
3.12,180,300
3.18,180,340
3.51,220,340
3.58,260,340
3.65,300,340
3.71,340,340

=== Segment 2 Start: 21:35:20 | End: 21:35:30 ===
Time (s),x,y
0.86,340,380
1.32,340,420
1.39,340,460
1.45,340,500
3.83,300,500
3.9,260,500
4.43,260,540
4.49,260,580
9.65,300,580
9.72,340,580
9.78,380,580
9.85,420,580
9.91,460,580
9.98,500,580
10.05,540,580

=== Segment 3 Start: 21:35:30 | End: 21:35:34 ===
Time (s),x,y
0.07,580,580
1.32,540,580
1.39,500,580
1.46,460,580
1.65,420,580
1.72,380,580
1.92,340,580
1.98,300,580
2.05,260,580
2.12,220,580
2.51,260,580
2.58,300,580
3.17,260,580
3.63,260,540
3.7,260,500
4.03,300,500
4.49,340,500

=== Segment 4 Start: 21:35:34 | End: 21:35:39 ===
Time (s),x,y
1.13,300,500
1.19,260,500
1.52,260,540
1.59,260,580
1.92,300,580
1.99,340,580
2.05,380,580
2.12,420,580
2.18,460,580
2.25,500,580
2.52,540,580
2.58,580,580
2.91,580,540
2.98,580,500
3.04,580,460
3.11,580,420
3.17,580,380
3.24,580,340
3.57,620,340
3.64,660,340
3.9,660,380
3.97,660,420
4.3,700,420
4.36,740,420
4.63,740,380

=== Segment 5 Start: 21:35:39 | End: 21:35:47 ===
Time (s),x,y
0.07,740,340
0.13,740,300
0.73,740,340
0.8,740,380
1.26,740,420
1.32,740,460
2.05,740,420
2.12,740,380
2.52,740,420
2.91,700,420
2.98,660,420
3.44,660,380
3.51,660,340
3.77,620,340
3.84,580,340
4.1,580,380
4.17,580,420
4.23,580,460
4.3,580,500
4.37,580,540
4.43,580,580
4.83,540,580
4.9,500,580
4.96,460,580
5.03,420,580
5.09,380,580
5.16,340,580
5.23,300,580
5.29,260,580
5.82,260,540
5.89,300,500
5.96,340,460
6.35,340,420
6.82,340,380
6.88,340,340
7.08,300,340
7.14,260,340
7.21,220,340
7.28,180,340
7.48,180,300
7.54,180,260
7.61,180,220
7.67,180,180
7.87,140,180
7.94,100,180

=== Segment 6 Start: 21:35:47 | End: 21:36:02 ===
Time (s),x,y
7.34,140,180
7.4,180,220
8.0,180,260
8.06,180,300
8.13,180,340
8.46,220,340
8.53,260,340
8.59,300,340
8.66,340,340
8.99,340,380
9.06,340,420
9.12,340,460
9.19,340,500
9.33,300,500
9.39,260,500
9.78,260,540
9.85,260,580
10.18,300,580
10.25,340,580
10.31,380,580
10.38,420,580
10.44,460,580
10.51,500,580
10.58,540,580
10.65,580,580
10.84,580,540
10.91,580,500
10.98,580,460
11.04,580,420
11.11,580,380
11.17,580,340
11.44,620,340
11.5,660,340
11.96,660,380
12.03,660,420
12.43,700,420
12.49,740,420
12.76,740,380
12.82,740,340
12.89,740,300
12.96,740,260
13.02,740,220
13.09,740,180
13.16,740,140
13.22,740,100
13.29,740,60
13.35,740,20
13.68,700,20
13.75,660,20
13.95,660,60
14.01,660,100
14.28,620,100
14.34,580,100
14.61,580,60
14.68,580,20
14.94,540,20
15.01,500,20

=== Segment 7 Start: 21:36:02 | End: 21:36:03 ===
Time (s),x,y
0.06,460,20
0.13,420,20
0.93,460,20
0.99,500,20
1.06,540,20

=== Segment 8 Start: 21:36:03 | End: 21:36:05 ===
Time (s),x,y
0.07,580,20
0.6,580,60
0.66,580,100
0.86,620,100
0.93,660,100
1.13,660,60
1.19,660,20
1.39,700,20
1.46,740,20
1.85,740,60
1.92,740,100
1.98,740,140

=== Segment 9 Start: 21:36:05 | End: 21:36:10 ===
Time (s),x,y
0.73,740,100
0.79,740,60
0.86,740,20
0.99,700,20
1.06,660,20
1.32,660,60
1.39,660,100
1.65,620,100
1.72,580,100
2.51,580,60
2.58,580,20
2.84,540,20
2.91,500,20
2.97,460,20
3.04,420,20
3.43,420,60
3.5,420,100
3.57,420,140
3.63,420,180
3.83,460,180
3.9,500,180
3.96,540,180
4.03,580,180
4.89,540,180
4.95,500,180
5.35,500,140
5.42,500,100

=== Segment 10 Start: 21:36:10 | End: 21:36:18 ===
Time (s),x,y
0.79,500,140
0.86,500,180
1.12,460,180
1.19,420,180
1.39,420,140
1.45,420,100
1.52,420,60
1.59,420,20
1.79,460,20
1.85,500,20
1.92,540,20
1.98,580,20
2.18,580,60
2.25,580,100
2.58,620,100
2.65,660,100
2.91,660,60
2.98,660,20
3.18,700,20
3.24,740,20
4.23,740,60
4.3,740,100
4.37,740,140
4.43,740,180
4.5,740,220
4.56,740,260
4.63,740,300
4.96,740,340
5.03,740,380
5.09,740,420
5.62,700,420
5.69,660,420
6.02,660,380
6.08,660,340
6.41,620,340
6.48,580,340
6.81,580,380
6.88,580,420
6.94,580,460
7.01,580,500
7.08,580,540
7.14,580,580
7.41,540,580
7.47,500,580
7.54,460,580
7.61,420,580
7.67,380,580
7.74,340,580
7.81,300,580
7.87,260,540
7.94,260,500

=== Segment 11 Start: 21:36:18 | End: 21:36:21 ===
Time (s),x,y
1.65,260,540
1.72,260,580
1.92,300,580
1.98,340,580
2.05,380,580
2.11,420,580
2.18,460,580
2.25,500,580
2.31,540,580
2.38,580,580
2.58,580,540
2.64,580,500
2.71,580,460
2.78,580,420
2.84,580,380

=== Segment 12 Start: 21:36:21 | End: 21:36:23 ===
Time (s),x,y
0.07,580,340
0.59,580,380
0.66,580,420
0.73,580,460
0.79,580,500
0.86,580,540
0.93,580,580
1.12,540,580
1.19,500,580
1.26,460,580
1.32,420,580
1.39,380,580
1.45,340,580
1.52,300,580
1.59,260,580
1.65,220,580
1.72,180,580

=== Segment 13 Start: 21:36:23 | End: 21:36:27 ===
Time (s),x,y
0.07,140,580
0.53,180,580
0.59,220,580
0.66,260,580
0.73,300,580
0.79,340,580
0.86,380,580
0.93,420,580
0.99,460,580
1.06,500,580
1.12,540,580
1.19,580,580
1.39,580,540
1.45,580,500
1.52,580,460
1.59,580,420
1.65,580,380
1.72,580,340
1.92,620,340
1.98,660,340
2.71,660,380
2.78,660,420
3.11,700,420
3.18,740,420
3.51,740,460
3.57,740,500
3.64,740,540
3.7,740,580
3.97,700,580
4.03,660,580
4.23,660,540

=== Segment 14 Start: 21:36:27 | End: 21:36:38 ===
Time (s),x,y
0.07,660,500
0.66,660,540
0.73,660,580
1.19,660,540
1.39,660,500
1.65,660,540
1.72,660,580
2.05,700,580
2.11,740,580
3.77,740,540
3.83,740,500
4.3,740,460
4.76,740,420
4.83,740,380
5.22,740,420
5.29,740,460
5.75,740,420
6.15,700,420
6.21,660,420
6.54,660,380
6.61,660,340
6.81,620,340
6.87,580,380
7.07,580,420
7.14,580,460
7.2,580,500
7.27,580,540
7.34,580,580
7.67,540,580
7.73,500,580
7.8,460,580
7.86,420,580
7.93,380,580
8.0,340,580
8.06,300,580
8.13,260,580
8.19,220,580
8.46,260,540
8.72,260,500
9.12,300,500
9.19,340,500
9.65,340,460
9.72,340,420
9.78,340,380
9.85,340,340
10.11,300,340
10.18,260,340
10.24,220,340
10.31,180,340
10.44,180,300
10.51,180,260
10.57,180,220
10.64,180,180

=== Segment 15 Start: 21:36:38 | End: 21:36:42 ===
Time (s),x,y
0.86,180,220
0.92,180,260
0.99,180,300
1.06,180,340
1.32,220,340
1.39,260,340
1.45,300,340
1.52,340,340
1.78,340,380
1.85,340,420
1.91,340,460
1.98,300,500
2.05,260,540
2.11,220,580
2.18,180,580
2.24,140,580
2.31,100,580
2.77,140,580
2.84,180,580
2.9,220,580
2.97,260,580
3.04,300,580
3.1,340,580
3.17,380,580
3.24,420,580
3.3,460,580
3.37,500,580
3.43,540,580
3.5,580,580
3.76,580,540
3.83,580,500
3.9,580,460
3.96,580,420
4.03,580,380
4.1,580,340
4.36,620,340
4.43,660,340
4.69,660,380
4.76,660,420

=== Segment 16 Start: 21:36:42 | End: 21:36:44 ===
Time (s),x,y
0.66,700,420
0.73,740,420
1.06,740,380
1.13,740,340
1.19,740,300

=== Segment 17 Start: 21:36:44 | End: 21:36:45 ===
Time (s),x,y
0.07,740,260
0.13,740,220
0.2,740,180
0.59,740,220
0.66,740,260
0.73,740,300
0.79,740,340
0.86,740,380
0.92,740,420
0.99,740,460
1.19,700,420
1.65,660,420

=== Segment 18 Start: 21:36:45 | End: 21:36:50 ===
Time (s),x,y
1.19,660,380
1.26,660,340
1.59,620,340
1.65,580,340
1.85,580,380
1.92,580,420
1.98,580,460
2.05,580,500
2.11,580,540
2.18,580,580
2.58,540,580
2.64,500,580
2.71,460,580
2.78,420,580
2.84,380,580
2.91,340,580
2.97,300,580
3.04,260,580
3.11,220,580
3.17,180,580
3.24,140,580
3.3,100,580
3.64,100,540
3.7,100,500
3.97,140,500
4.03,180,500
4.3,180,460
4.36,180,420
4.63,140,420
5.02,100,380

=== Segment 19 Start: 21:36:50 | End: 21:37:08 ===
Time (s),x,y
2.64,100,420
3.11,140,420
3.17,180,420
3.24,220,420
3.7,180,420
4.1,180,460
4.16,180,500
4.49,140,500
4.56,100,500
4.89,100,540
4.95,100,580
5.42,140,580
5.48,180,580
5.55,220,580
5.62,260,580
5.68,300,580
5.75,340,580
5.81,380,580
5.88,420,580
7.47,460,580
7.53,500,580
7.6,540,580
7.67,580,580
8.39,580,540
8.46,580,500
8.52,580,460
8.59,580,420
8.66,580,380
8.72,580,340
9.05,620,340
9.12,660,340
9.45,660,380
9.52,660,420
9.85,700,420
9.92,740,420
10.38,740,380
10.44,740,340
10.51,740,300
10.57,740,260
10.64,740,220
10.71,740,180
10.77,740,140
10.84,740,100
10.9,740,60
10.97,740,20
12.43,700,20
12.49,660,20
12.95,660,60
13.02,660,100
13.35,620,100
13.42,580,100
13.82,580,60
13.88,580,20
14.21,540,20
14.28,500,20
14.35,460,20
14.41,420,20
14.74,420,60
14.81,420,100
15.27,420,140
15.34,420,180
15.67,460,180
15.74,500,180
15.8,540,180
15.87,580,180
15.93,620,180
16.0,660,180
16.33,660,220
16.39,660,260
16.79,620,260
16.86,580,260
16.92,540,260
16.99,500,260
17.32,500,300
17.39,500,340
17.45,500,380
17.52,500,420
17.78,460,420
17.85,420,420
18.18,420,460

=== Segment 20 Start: 21:37:08 | End: 21:37:24 ===
Time (s),x,y
0.07,420,500
0.99,420,460
1.06,420,420
2.65,460,420
2.71,500,420
3.11,500,380
3.17,500,340
3.24,500,300
3.31,500,260
3.44,540,260
3.5,580,260
3.57,620,260
3.64,660,260
3.9,660,220
3.97,660,180
5.69,620,180
6.08,580,180
6.15,540,180
6.22,500,180
6.28,460,180
6.35,420,180
6.68,420,140
6.74,420,100
6.81,420,60
6.88,420,20
7.21,460,20
7.27,500,20
7.34,540,20
7.41,580,20
7.74,580,60
7.8,580,100
8.13,620,100
8.2,660,100
8.6,660,60
8.66,660,20
8.99,700,20
9.06,740,20
9.66,740,60
9.72,740,100
9.79,740,140
9.85,740,180
9.92,740,220
9.99,740,260
10.05,740,300
10.38,740,340
10.45,740,380
11.31,740,420
11.37,740,460
11.84,740,420
12.3,700,420
12.7,660,420
13.1,660,380
13.16,660,340
13.49,620,340
13.56,580,340
13.83,580,380
13.89,580,420
13.96,580,460
14.22,580,500
14.29,580,540
14.35,580,580
14.75,540,580
14.82,500,580
14.88,460,580
14.95,420,580
15.01,380,580
15.08,340,580
15.15,300,580
15.21,260,580
15.28,220,580

=== Segment 21 Start: 21:37:24 | End: 21:37:34 ===
Time (s),x,y
0.07,180,580
0.73,220,580
1.06,260,580
1.12,300,580
1.19,340,580
1.26,380,580
1.32,420,580
1.39,460,580
1.45,500,580
1.52,540,580
1.58,580,580
1.85,580,540
1.91,580,500
1.98,580,460
2.05,580,420
2.11,580,380
2.18,580,340
2.58,620,340
2.65,660,340
2.98,660,380
3.04,660,420
3.37,700,420
3.44,740,420
3.77,740,380
3.84,740,340
3.9,740,300
3.97,740,260
4.04,740,220
4.1,740,180
4.17,740,140
4.23,740,100
4.3,740,60
4.37,740,20
4.63,700,20
4.7,660,20
5.03,660,60
5.09,660,100
5.36,620,100
5.42,580,100
5.69,580,60
5.76,580,20
6.02,540,20
6.09,500,20
6.35,460,20
6.62,420,20
6.88,420,60
6.95,420,100
7.28,420,140
7.35,420,180
7.74,460,180
7.81,500,180
8.07,540,180
8.14,580,180
8.4,620,180
8.47,660,180
8.8,660,220
8.87,660,260
9.13,620,260
9.2,580,260
9.26,540,260
9.53,500,260
9.86,500,300
9.92,500,340
9.99,500,380
10.19,500,420
10.52,460,420

