=== Segment 1 Start: 22:24:34 | End: 22:24:44 ===
Time (s),x,y
0.54,60,20
0.61,100,20
0.68,140,20
0.75,180,20
0.81,220,20
0.87,260,20
1.47,260,60
1.87,260,100
2.33,220,100
2.4,180,100
2.46,140,100
2.53,100,100
2.6,60,100
2.66,20,100
2.93,20,140
2.99,20,180
3.06,20,220
3.13,20,260
3.19,20,300
3.26,20,340
3.65,60,340
3.72,100,340
4.05,100,300
4.12,100,260
7.16,140,260
7.23,180,260
7.29,220,260
7.36,260,260
7.62,300,260
7.69,340,260
8.75,340,300
8.81,340,340
8.88,340,380
8.95,340,420
9.94,300,420
10.01,260,420
10.07,220,420
10.14,180,420

=== Segment 2 Start: 22:24:44 | End: 22:24:55 ===
Time (s),x,y
0.07,140,420
0.13,100,420
0.79,60,420
0.86,20,420
1.32,20,460
1.39,20,500
1.65,60,500
1.72,100,500
2.05,100,540
2.11,100,580
2.25,140,580
2.31,180,580
2.58,180,540
2.64,180,500
2.97,220,500
3.04,260,500
3.3,260,540
3.37,260,580
3.83,300,580
3.9,340,580
3.97,380,580
4.03,420,580
4.3,420,540
4.36,420,500
4.63,460,500
4.69,500,500
4.76,540,500
4.82,580,500
4.96,580,460
5.02,580,420
5.29,540,420
5.35,500,420
5.75,500,380
5.81,500,340
5.88,500,300
5.95,500,260
6.08,460,260
6.15,420,260
6.48,420,220
6.54,420,180
6.81,460,180
6.87,500,180
6.94,540,180
7.01,580,180
7.27,580,140
7.34,580,100
7.54,540,100
7.61,500,100
7.87,500,60
7.94,500,20
8.2,540,20
8.27,580,20
8.33,620,20
8.4,660,20
8.46,700,20
8.53,740,20
9.26,740,60
9.33,740,100
9.39,740,140
9.46,740,180
9.72,700,180
9.79,660,180
10.05,660,220
10.12,660,260
10.38,700,260
10.45,740,260
10.72,740,300
10.79,740,340
10.86,740,380
10.92,740,420
10.98,740,460
11.05,700,500
11.12,660,500

=== Segment 3 Start: 22:24:55 | End: 22:24:58 ===
Time (s),x,y
0.6,700,500
0.66,740,500
1.0,740,460
1.06,740,420
1.13,740,380
1.19,740,340
1.26,740,300
1.32,700,260
1.39,660,220
1.78,700,180
1.85,740,180
2.18,740,140
2.25,740,100

=== Segment 4 Start: 22:24:58 | End: 22:25:01 ===
Time (s),x,y
0.06,740,60
0.13,740,20
0.59,740,60
0.66,740,100
0.73,740,140
0.79,740,180
1.05,700,180
1.12,660,180
1.38,660,220
1.45,660,260
1.65,700,260
1.72,740,260
2.05,740,300
2.11,740,340
2.18,740,380
2.24,740,420
2.31,740,460
2.38,740,500
2.71,700,500
2.77,660,500
3.04,660,460

=== Segment 5 Start: 22:25:01 | End: 22:25:24 ===
Time (s),x,y
0.06,660,420
0.13,660,380
0.86,660,420
0.92,660,460
0.99,660,500
1.06,660,540
1.12,660,580
1.25,700,580
1.32,740,580
2.31,700,580
2.37,660,580
2.44,620,580
2.51,580,580
3.03,620,580
3.1,660,580
3.17,700,580
3.23,740,580
3.89,700,580
3.96,660,580
4.03,620,580
4.36,660,540
4.42,700,500
4.49,740,460
4.55,740,420
4.62,740,380
4.88,740,340
4.95,740,300
5.02,740,260
5.28,700,260
5.35,660,260
5.54,660,220
5.61,660,180
5.68,660,140
5.74,660,100
7.59,660,140
7.66,660,180
7.79,700,180
7.86,740,180
8.25,740,140
8.32,740,100
8.39,740,60
8.45,740,20
8.65,700,20
8.72,660,20
8.78,620,20
8.85,580,20
8.91,540,20
8.98,500,20
9.05,460,20
9.11,420,20
9.18,380,20
9.24,340,20
9.84,380,20
9.91,420,20
10.24,460,20
10.3,500,20
10.57,500,60
10.63,500,100
10.83,540,100
10.9,580,100
11.23,580,140
11.29,580,180
11.76,540,180
11.82,500,180
11.89,460,180
11.95,420,180
12.29,420,220
12.35,420,260
12.42,420,300
12.68,460,260
13.01,500,260
13.47,500,300
13.54,500,340
13.61,500,380
13.67,500,420
13.81,540,420
13.87,580,420
14.2,580,460
14.27,580,500
14.46,540,500
14.53,500,500
14.6,460,500
14.66,420,500
14.73,380,500
15.13,420,540
15.46,420,580
15.72,380,580
15.79,340,580
16.78,300,580
16.85,260,580
17.11,260,540
17.18,260,500
17.44,220,500
17.51,180,500
17.84,180,540
17.91,180,580
18.17,140,580
18.24,100,580
18.31,60,580
18.63,100,540
18.9,100,500
19.16,60,500
19.23,20,500
19.69,20,460
19.76,20,420
19.95,60,420
20.02,100,420
20.09,140,420
20.15,180,420
20.22,220,420
20.28,260,420
20.35,300,420
20.42,340,420
20.75,340,380
20.81,340,340
20.88,340,300
20.95,340,260
21.21,300,260
21.27,260,260
21.34,220,260
21.41,180,260
21.47,140,260
21.54,100,260
21.8,100,300
21.87,100,340
22.13,60,340
22.2,20,340
22.53,20,300
22.6,20,260
22.66,20,220
22.73,20,180
22.79,20,140
22.86,20,100
23.12,60,100
23.19,100,100
23.26,140,100
23.32,180,100
23.39,220,100
23.45,260,100

=== Segment 6 Start: 22:25:24 | End: 22:25:26 ===
Time (s),x,y
0.4,220,100
0.46,180,100
0.53,140,100
0.6,100,100
0.66,60,100
0.73,20,100
1.06,20,140
1.12,20,180
1.19,20,220
1.26,20,260
1.32,20,300
1.39,20,340
1.59,60,340
1.65,100,340
1.85,100,300
2.05,100,260
2.12,140,260
2.18,180,260
2.25,220,260

=== Segment 7 Start: 22:25:26 | End: 22:25:32 ===
Time (s),x,y
0.46,260,260
0.53,300,260
0.6,340,260
0.93,340,300
0.99,340,340
1.06,340,380
1.12,340,420
1.59,300,420
1.65,260,420
1.72,220,420
1.79,180,420
1.85,140,420
1.92,100,420
1.98,60,420
2.05,20,420
2.25,20,460
2.31,20,500
2.45,60,500
2.51,100,500
3.84,100,540
3.9,140,580
4.23,180,540
4.3,180,500
4.57,220,500
4.63,260,500
4.83,260,540
4.9,260,580
5.29,300,580

=== Segment 8 Start: 22:25:32 | End: 22:25:38 ===
Time (s),x,y
0.07,340,580
0.13,380,580
0.2,420,580
0.66,380,580
0.73,340,580
0.99,300,580
1.06,260,580
1.39,260,540
1.59,260,500
1.65,220,500
1.72,180,500
2.05,180,540
2.12,180,580
2.38,140,580
2.45,100,580
2.51,60,580
2.78,100,540
3.05,100,500
3.31,60,500
3.38,20,500
3.65,20,460
3.71,20,420
3.91,60,420
3.98,100,420
4.04,140,420
4.11,180,420
4.18,220,420
4.24,260,420
4.31,300,420
4.38,340,420
4.64,340,380
4.7,340,340
4.77,340,300
4.84,340,260
5.03,300,260
5.1,260,260
5.16,220,260
5.23,180,260
5.76,140,260
5.82,100,260
6.09,100,300
6.15,100,340
6.42,60,340
6.49,20,340

=== Segment 9 Start: 22:25:38 | End: 22:25:42 ===
Time (s),x,y
0.99,20,300
1.19,20,260
1.25,20,220
1.32,20,180
1.39,20,140
1.45,20,100
2.11,60,100
2.18,100,100
2.25,140,100
2.31,180,100
2.38,220,100
2.44,260,100
2.77,260,60
2.84,260,20
3.1,220,20
3.17,180,20
3.24,140,20
3.3,100,20

=== Segment 10 Start: 22:25:42 | End: 22:25:56 ===
Time (s),x,y
0.07,60,20
0.4,100,20
0.46,140,20
0.53,180,20
0.6,220,20
0.66,260,20
0.99,260,60
1.06,260,100
1.39,220,100
1.45,180,100
1.52,140,100
1.58,100,100
1.65,60,100
1.72,20,100
2.05,20,140
2.11,20,180
2.18,20,220
2.25,20,260
2.31,20,300
2.38,20,340
2.71,20,300
2.77,20,260
2.84,20,220
3.24,20,260
3.3,20,300
3.37,20,340
3.57,60,340
3.63,100,340
3.9,100,300
3.96,100,260
4.23,140,260
4.3,180,260
4.36,220,260
4.43,260,260
4.5,300,260
4.56,340,260
5.02,340,300
5.09,340,340
5.16,340,380
5.22,340,420
5.68,300,420
5.75,260,420
5.82,220,420
5.88,180,420
5.95,140,420
6.02,100,420
6.08,60,420
6.15,20,420
6.74,20,460
7.01,20,500
7.07,60,500
7.14,100,500
7.47,100,540
7.53,100,580
7.8,140,580
7.86,180,580
8.13,180,540
8.2,180,500
8.46,220,500
8.53,260,500
8.73,260,540
8.79,260,580
9.06,300,580
9.12,340,580
9.19,380,580
9.25,420,580
9.45,420,540
9.52,420,500
9.78,460,500
9.85,500,500
9.92,540,500
9.99,580,500
10.25,580,460
10.32,580,420
10.52,540,420
10.58,500,420
10.85,500,380
10.91,500,340
10.98,500,300
11.05,460,260
11.11,420,220
11.57,460,180
11.64,500,180
11.71,540,180
11.77,580,180
12.03,580,140
12.1,540,100
12.17,500,60
12.23,460,20
12.3,420,20
12.37,380,20
12.43,340,20
12.56,380,20
12.63,420,20
12.7,460,20
12.76,500,20
12.83,540,20
12.9,580,20
12.96,620,20
13.03,660,20
13.09,700,20
13.16,740,20
13.69,740,60
13.75,740,100
14.15,740,140

=== Segment 11 Start: 22:25:56 | End: 22:25:58 ===
Time (s),x,y
0.06,740,180
0.53,700,180
0.59,660,180
0.79,660,220
0.86,660,260
0.99,700,260
1.06,740,260
1.39,740,300
1.45,740,340
1.52,740,380
1.59,740,420
1.65,740,460
1.72,740,500
1.92,700,500
1.98,660,500
2.31,660,540
2.38,660,580
2.51,700,580

=== Segment 12 Start: 22:25:58 | End: 22:26:00 ===
Time (s),x,y
0.07,740,580
0.59,700,580
0.66,660,580
0.72,620,580
1.06,660,540
1.12,700,500
1.19,740,500
1.39,700,500
1.45,660,500
1.78,660,460
1.85,660,420

=== Segment 13 Start: 22:26:00 | End: 22:26:23 ===
Time (s),x,y
0.07,660,380
0.13,660,340
1.65,660,380
1.72,660,420
1.78,660,460
1.85,660,500
2.05,700,500
2.12,740,500
2.65,700,500
2.71,660,460
2.98,660,420
3.04,660,380
3.11,660,340
3.84,660,380
3.9,660,420
3.97,660,460
4.04,700,500
4.17,740,500
4.5,740,460
4.56,740,420
4.63,740,380
4.7,740,340
4.76,740,300
4.83,740,260
5.23,700,260
5.29,660,260
5.56,660,220
5.62,700,180
5.76,740,140
6.09,740,100
6.15,740,60
6.22,740,20
6.55,700,20
6.62,660,20
6.68,620,20
6.75,580,20
6.82,540,20
6.88,500,20
6.95,460,20
7.01,420,20
7.08,380,20
7.15,340,20
7.81,380,20
7.87,420,20
7.94,460,20
8.01,500,20
8.27,500,60
8.34,500,100
8.6,540,100
8.67,580,100
8.94,580,140
9.0,580,180
9.4,540,180
9.46,500,180
9.53,460,180
9.59,420,180
9.86,460,180
9.93,500,180
9.99,540,180
10.06,580,180
10.26,540,180
10.32,500,180
10.39,460,180
10.45,420,180
10.72,420,220
10.78,460,260
10.85,500,300
11.64,500,340
11.71,500,380
11.77,500,420
12.04,540,420
12.1,580,420
12.43,580,460
12.5,580,500
13.56,540,500
13.76,500,500
13.83,460,500
13.89,420,500
14.16,420,540
14.22,420,580
14.56,380,580
14.62,340,580
14.69,300,580
14.75,260,580
15.02,260,540
15.08,260,500
15.42,220,500
15.48,180,500
15.88,180,540
15.94,180,580
16.41,140,580
16.47,100,580
16.54,60,580
16.61,20,580
17.46,60,580
17.53,100,580
17.6,140,580
17.66,180,580
17.8,180,540
18.39,180,580
18.72,140,580
18.79,100,580
18.85,60,580
18.92,20,580
19.25,60,580
19.32,100,580
20.05,60,580
20.11,20,580
20.44,60,580
20.51,100,580
20.57,140,580
21.04,100,580
21.1,60,580
21.37,100,540
21.7,100,500
21.9,60,500
21.96,20,500
22.36,20,460
22.42,20,420
22.69,60,420
22.75,100,420
22.82,140,420
22.89,180,420
22.95,220,420
23.02,260,420
23.09,300,420
23.15,340,420

=== Segment 14 Start: 22:26:23 | End: 22:26:35 ===
Time (s),x,y
0.66,300,420
0.73,260,420
0.79,220,420
0.86,180,420
0.92,140,420
0.99,100,420
1.06,60,420
1.12,20,420
1.39,20,460
1.45,60,500
1.72,100,540
1.99,140,580
2.32,180,580
2.58,180,540
2.65,180,500
2.97,220,500
3.04,260,500
3.3,260,540
3.37,260,580
3.7,300,580
3.77,340,580
3.84,380,580
3.9,420,580
4.43,420,540
4.69,460,500
4.76,500,500
4.82,540,500
4.89,580,500
5.15,580,460
5.22,540,420
5.49,500,420
5.75,500,380
5.81,500,340
5.88,500,300
5.95,500,260
6.28,460,260
6.34,420,260
6.67,420,220
6.74,420,180
6.94,460,180
7.0,500,180
7.07,540,180
7.14,580,180
7.34,580,140
7.4,580,100
7.93,540,100
8.0,500,100
8.33,500,60
8.39,500,20
8.66,540,20
8.72,580,20
8.79,620,20
8.86,660,20
8.92,700,20
8.99,740,20
9.38,740,60
9.45,740,100
9.52,740,140
9.58,740,180
9.91,700,180
9.98,660,180
10.24,660,220
10.31,700,260
10.38,740,300
10.77,740,340
10.84,740,380
10.9,740,420
10.97,740,460
11.04,740,500
11.63,700,500
11.9,660,460

=== Segment 15 Start: 22:26:35 | End: 22:26:42 ===
Time (s),x,y
1.12,700,500
1.32,740,500
1.59,740,460
1.65,740,420
1.72,740,380
1.85,740,340
1.92,740,300
1.99,740,260
2.19,700,260
2.25,660,260
2.51,660,220
2.58,660,180
2.71,700,180
2.78,740,180
3.04,740,140
3.11,740,100
3.17,740,60
3.24,740,20
3.5,700,20
3.57,660,20
3.63,620,20
3.7,580,20
3.77,540,20
4.16,500,60
4.56,500,100
4.69,540,100
4.76,580,100
5.09,580,140
5.15,580,180
5.35,540,180
5.42,500,180
5.48,460,180
5.55,420,180
5.81,420,220
5.88,420,260
6.08,460,260
6.15,500,260
6.54,500,300
6.61,500,340
6.67,500,380

=== Segment 16 Start: 22:26:42 | End: 22:26:47 ===
Time (s),x,y
0.07,500,420
0.73,500,380
0.79,500,340
0.86,500,300
0.92,500,260
1.12,460,260
1.19,420,260
1.52,420,220
1.58,420,180
1.72,460,180
1.78,500,180
1.85,540,180
1.91,580,180
2.18,580,140
2.24,580,100
2.38,540,100
2.44,500,100
2.71,500,60
2.77,500,20
2.97,540,20
3.04,580,20
3.1,620,20
3.17,660,20
3.24,700,20
3.3,740,20
3.7,740,60
3.76,740,100
3.83,740,140
3.9,740,180
4.23,700,180
4.3,660,180
4.56,660,220
4.63,660,260
4.89,700,260
4.96,740,260
5.16,740,300
5.22,740,340
5.29,740,380
5.35,740,420
5.42,740,460
5.48,740,500

=== Segment 17 Start: 22:26:47 | End: 22:27:04 ===
Time (s),x,y
0.6,740,460
0.66,740,420
0.73,740,380
0.79,740,340
0.86,740,300
0.93,740,260
1.26,700,260
1.32,660,260
1.59,660,220
1.65,660,180
1.72,660,140
2.18,700,180
2.45,740,180
2.58,740,140
2.65,740,100
2.71,740,60
2.78,740,20
3.04,700,20
3.11,660,20
3.17,620,20
3.24,580,20
3.31,540,20
3.37,500,20
3.51,500,60
3.57,500,100
3.83,540,100
3.9,580,100
4.1,580,140
4.16,580,180
4.36,540,180
4.43,500,180
4.5,460,180
4.56,420,180
5.29,420,220
5.35,420,260
5.42,420,300
5.88,420,260
5.95,420,220
6.02,460,180
6.15,500,180
6.21,540,180
6.28,580,180
6.41,540,180
6.55,500,180
6.61,460,180
6.68,420,180
7.01,460,180
7.07,500,180
7.14,540,180
7.21,580,180
7.34,540,180
7.41,500,180
7.47,460,180
7.54,420,180
7.8,420,220
7.87,460,260
7.93,500,300
8.53,500,340
8.6,500,380
8.67,540,420
8.73,580,460
9.32,540,500
9.59,500,500
9.65,460,500
9.72,420,500
9.79,380,500
10.12,420,540
10.38,420,580
10.71,380,580
10.78,340,580
10.84,300,580
10.91,260,580
11.11,260,540
11.17,260,500
11.37,220,500
11.44,180,500
11.64,180,540
11.7,180,580
11.97,140,580
12.03,100,540
12.1,60,500
12.16,20,460
12.23,20,420
12.7,60,420
12.76,100,420
12.83,140,420
12.89,180,420
12.96,220,420
13.03,260,420
13.1,300,420
13.16,340,420
13.43,340,380
13.49,340,340
13.56,340,300
13.62,340,260
13.75,300,260
13.82,260,260
13.88,220,260
14.41,180,260
14.48,140,260
14.55,100,260
14.94,100,300
15.01,100,340
15.27,60,340
15.34,20,340
15.74,20,300
15.8,20,260
15.87,20,220
15.94,20,180
16.33,20,140
16.53,20,100
16.6,60,100
16.66,100,100

